cell_id,sample_id,id,clone_id
SA1090-A96213A-R20-C09,SA1090,0,1
SA1090-A96213A-R20-C11,SA1090,1,1
SA1090-A96213A-R20-C12,SA1090,2,8
SA1090-A96213A-R20-C13,SA1090,3,10
SA1090-A96213A-R20-C17,SA1090,4,11
SA1090-A96213A-R20-C19,SA1090,5,1
SA1090-A96213A-R20-C21,SA1090,6,10
SA1090-A96213A-R20-C22,SA1090,7,8
SA1090-A96213A-R20-C24,SA1090,8,1
SA1090-A96213A-R20-C25,SA1090,9,10
SA1090-A96213A-R20-C27,SA1090,10,1
SA1090-A96213A-R20-C28,SA1090,11,11
SA1090-A96213A-R20-C30,SA1090,12,1
SA1090-A96213A-R20-C33,SA1090,13,1
SA1090-A96213A-R20-C35,SA1090,14,1
SA1090-A96213A-R20-C37,SA1090,15,10
SA1090-A96213A-R20-C43,SA1090,16,11
SA1090-A96213A-R20-C47,SA1090,17,1
SA1090-A96213A-R20-C48,SA1090,18,10
SA1090-A96213A-R20-C50,SA1090,19,10
SA1090-A96213A-R20-C56,SA1090,20,10
SA1090-A96213A-R20-C61,SA1090,21,1
SA1090-A96213A-R20-C62,SA1090,22,10
SA1090-A96213A-R20-C63,SA1090,23,10
SA1090-A96213A-R20-C64,SA1090,24,11
SA1090-A96213A-R22-C17,SA1090,25,1
SA1090-A96213A-R22-C21,SA1090,26,1
SA1090-A96213A-R22-C22,SA1090,27,10
SA1090-A96213A-R22-C24,SA1090,28,1
SA1090-A96213A-R22-C26,SA1090,29,10
SA1090-A96213A-R22-C27,SA1090,30,10
SA1090-A96213A-R22-C28,SA1090,31,8
SA1090-A96213A-R22-C31,SA1090,32,1
SA1090-A96213A-R22-C32,SA1090,33,10
SA1090-A96213A-R22-C33,SA1090,34,10
SA1090-A96213A-R22-C37,SA1090,35,8
SA1090-A96213A-R22-C39,SA1090,36,10
SA1090-A96213A-R22-C40,SA1090,37,1
SA1090-A96213A-R22-C45,SA1090,38,11
SA1090-A96213A-R22-C46,SA1090,39,11
SA1090-A96213A-R22-C47,SA1090,40,1
SA1090-A96213A-R22-C48,SA1090,41,1
SA1090-A96213A-R22-C49,SA1090,42,8
SA1090-A96213A-R22-C50,SA1090,43,1
SA1090-A96213A-R24-C12,SA1090,44,10
SA1090-A96213A-R24-C13,SA1090,45,1
SA1090-A96213A-R24-C14,SA1090,46,1
SA1090-A96213A-R24-C15,SA1090,47,1
SA1090-A96213A-R24-C16,SA1090,48,8
SA1090-A96213A-R24-C18,SA1090,49,10
SA1090-A96213A-R24-C20,SA1090,50,1
SA1090-A96213A-R24-C22,SA1090,51,8
SA1090-A96213A-R24-C23,SA1090,52,8
SA1090-A96213A-R24-C24,SA1090,53,11
SA1090-A96213A-R24-C27,SA1090,54,11
SA1090-A96213A-R24-C31,SA1090,55,1
SA1090-A96213A-R24-C32,SA1090,56,10
SA1090-A96213A-R24-C33,SA1090,57,11
SA1090-A96213A-R24-C34,SA1090,58,11
SA1090-A96213A-R24-C35,SA1090,59,1
SA1090-A96213A-R24-C37,SA1090,60,8
SA1090-A96213A-R24-C39,SA1090,61,1
SA1090-A96213A-R24-C42,SA1090,62,10
SA1090-A96213A-R24-C43,SA1090,63,1
SA1090-A96213A-R24-C44,SA1090,64,1
SA1090-A96213A-R24-C46,SA1090,65,8
SA1090-A96213A-R24-C47,SA1090,66,10
SA1090-A96213A-R24-C48,SA1090,67,10
SA1090-A96213A-R24-C54,SA1090,68,1
SA1090-A96213A-R24-C59,SA1090,69,8
SA1090-A96213A-R24-C63,SA1090,70,11
SA1090-A96213A-R24-C64,SA1090,71,10
SA1090-A96213A-R24-C65,SA1090,72,10
SA1090-A96213A-R24-C66,SA1090,73,1
SA1090-A96213A-R24-C67,SA1090,74,8
SA1090-A96213A-R24-C70,SA1090,75,8
SA1090-A96213A-R25-C10,SA1090,76,1
SA1090-A96213A-R25-C11,SA1090,77,10
SA1090-A96213A-R25-C12,SA1090,78,11
SA1090-A96213A-R25-C14,SA1090,79,10
SA1090-A96213A-R25-C16,SA1090,80,10
SA1090-A96213A-R25-C17,SA1090,81,8
SA1090-A96213A-R25-C18,SA1090,82,8
SA1090-A96213A-R25-C19,SA1090,83,1
SA1090-A96213A-R25-C20,SA1090,84,11
SA1090-A96213A-R25-C21,SA1090,85,10
SA1090-A96213A-R25-C23,SA1090,86,8
SA1090-A96213A-R25-C25,SA1090,87,11
SA1090-A96213A-R25-C28,SA1090,88,8
SA1090-A96213A-R25-C30,SA1090,89,10
SA1090-A96213A-R25-C31,SA1090,90,10
SA1090-A96213A-R25-C32,SA1090,91,8
SA1090-A96213A-R25-C35,SA1090,92,1
SA1090-A96213A-R25-C39,SA1090,93,10
SA1090-A96213A-R25-C42,SA1090,94,10
SA1090-A96213A-R25-C43,SA1090,95,1
SA1090-A96213A-R25-C44,SA1090,96,11
SA1090-A96213A-R25-C46,SA1090,97,10
SA1090-A96213A-R25-C47,SA1090,98,10
SA1090-A96213A-R25-C49,SA1090,99,8
SA1090-A96213A-R25-C52,SA1090,100,1
SA1090-A96213A-R25-C54,SA1090,101,8
SA1090-A96213A-R25-C56,SA1090,102,1
SA1090-A96213A-R25-C60,SA1090,103,10
SA1090-A96213A-R25-C64,SA1090,104,1
SA1090-A96213A-R25-C66,SA1090,105,10
SA1090-A96213A-R25-C67,SA1090,106,1
SA1090-A96213A-R25-C68,SA1090,107,1
SA1090-A96213A-R26-C07,SA1090,108,11
SA1090-A96213A-R26-C09,SA1090,109,1
SA1090-A96213A-R26-C11,SA1090,110,11
SA1090-A96213A-R26-C12,SA1090,111,1
SA1090-A96213A-R26-C15,SA1090,112,11
SA1090-A96213A-R26-C16,SA1090,113,10
SA1090-A96213A-R26-C18,SA1090,114,8
SA1090-A96213A-R26-C19,SA1090,115,10
SA1090-A96213A-R26-C20,SA1090,116,11
SA1090-A96213A-R26-C21,SA1090,117,8
SA1090-A96213A-R26-C23,SA1090,118,8
SA1090-A96213A-R26-C25,SA1090,119,10
SA1090-A96213A-R26-C27,SA1090,120,11
SA1090-A96213A-R26-C32,SA1090,121,10
SA1090-A96213A-R26-C33,SA1090,122,8
SA1090-A96213A-R26-C36,SA1090,123,10
SA1090-A96213A-R26-C37,SA1090,124,1
SA1090-A96213A-R26-C39,SA1090,125,11
SA1090-A96213A-R26-C43,SA1090,126,8
SA1090-A96213A-R26-C45,SA1090,127,8
SA1090-A96213A-R26-C48,SA1090,128,8
SA1090-A96213A-R26-C49,SA1090,129,8
SA1090-A96213A-R26-C50,SA1090,130,11
SA1090-A96213A-R26-C55,SA1090,131,10
SA1090-A96213A-R26-C60,SA1090,132,10
SA1090-A96213A-R26-C61,SA1090,133,8
SA1090-A96213A-R26-C62,SA1090,134,10
SA1090-A96213A-R26-C65,SA1090,135,8
SA1090-A96213A-R26-C67,SA1090,136,10
SA1090-A96213A-R26-C69,SA1090,137,8
SA1090-A96213A-R26-C70,SA1090,138,10
SA1090-A96213A-R27-C07,SA1090,139,11
SA1090-A96213A-R27-C09,SA1090,140,11
SA1090-A96213A-R27-C12,SA1090,141,10
SA1090-A96213A-R27-C15,SA1090,142,11
SA1090-A96213A-R27-C19,SA1090,143,8
SA1090-A96213A-R27-C21,SA1090,144,8
SA1090-A96213A-R27-C26,SA1090,145,1
SA1090-A96213A-R27-C30,SA1090,146,1
SA1090-A96213A-R27-C33,SA1090,147,10
SA1090-A96213A-R27-C34,SA1090,148,10
SA1090-A96213A-R27-C37,SA1090,149,10
SA1090-A96213A-R27-C43,SA1090,150,8
SA1090-A96213A-R27-C44,SA1090,151,11
SA1090-A96213A-R27-C45,SA1090,152,11
SA1090-A96213A-R27-C48,SA1090,153,11
SA1090-A96213A-R27-C49,SA1090,154,8
SA1090-A96213A-R27-C51,SA1090,155,11
SA1090-A96213A-R27-C55,SA1090,156,10
SA1090-A96213A-R27-C57,SA1090,157,8
SA1090-A96213A-R27-C58,SA1090,158,8
SA1090-A96213A-R27-C60,SA1090,159,10
SA1090-A96213A-R27-C61,SA1090,160,10
SA1090-A96213A-R27-C62,SA1090,161,8
SA1090-A96213A-R27-C63,SA1090,162,8
SA1090-A96213A-R27-C64,SA1090,163,1
SA1090-A96213A-R27-C66,SA1090,164,10
SA1090-A96213A-R27-C68,SA1090,165,11
SA1090-A96213A-R27-C69,SA1090,166,10
SA1090-A96213A-R28-C08,SA1090,167,1
SA1090-A96213A-R28-C09,SA1090,168,1
SA1090-A96213A-R28-C10,SA1090,169,11
SA1090-A96213A-R28-C11,SA1090,170,1
SA1090-A96213A-R28-C13,SA1090,171,10
SA1090-A96213A-R28-C14,SA1090,172,10
SA1090-A96213A-R28-C15,SA1090,173,10
SA1090-A96213A-R28-C16,SA1090,174,1
SA1090-A96213A-R28-C18,SA1090,175,11
SA1090-A96213A-R28-C20,SA1090,176,11
SA1090-A96213A-R28-C21,SA1090,177,10
SA1090-A96213A-R28-C22,SA1090,178,8
SA1090-A96213A-R28-C23,SA1090,179,11
SA1090-A96213A-R28-C24,SA1090,180,1
SA1090-A96213A-R28-C25,SA1090,181,8
SA1090-A96213A-R28-C26,SA1090,182,1
SA1090-A96213A-R28-C27,SA1090,183,10
SA1090-A96213A-R28-C28,SA1090,184,11
SA1090-A96213A-R28-C29,SA1090,185,10
SA1090-A96213A-R28-C30,SA1090,186,1
SA1090-A96213A-R28-C32,SA1090,187,8
SA1090-A96213A-R28-C33,SA1090,188,8
SA1090-A96213A-R28-C34,SA1090,189,8
SA1090-A96213A-R28-C37,SA1090,190,11
SA1090-A96213A-R28-C38,SA1090,191,8
SA1090-A96213A-R28-C39,SA1090,192,11
SA1090-A96213A-R28-C40,SA1090,193,10
SA1090-A96213A-R28-C42,SA1090,194,8
SA1090-A96213A-R28-C43,SA1090,195,8
